url_source,page_origine,nom_fichier_local,alt_original,description_visuelle_factuelle,dimensions,statut_droits
"https://static.wixstatic.com/media/6860cd_57b1d02aea004fa2be73b2effc6a88d2~mv2.png","accueil","bandeau-bois-veine-clair.png","","Bandeau horizontal texturé de bois clair veiné et ondulé","2479x277","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_76c86ac57a544564bc75556a795aa7b6~mv2.png","accueil","badge-made-in-france.png","","Macaron circulaire Made in France avec carte de France et drapeau tricolore","1181x1181","badge libre d'usage / marque collective sous réserve de conformité"
"https://static.wixstatic.com/media/6860cd_6e521357e1774a9da81495b778aa2c7c~mv2.png","accueil, a-propos","logo-artisan-dart.png","Logo Artisan d'art","Logo officiel Artisan d'art de la Chambre de Métiers et de l'Artisanat","370x294","marque déposée CMA — usage sous réserve de détention du titre"
"https://static.wixstatic.com/media/6860cd_d787783c6e9d4dfab83f92f0030a2950~mv2.png","accueil","logo-uchronie-maybon-complet.png","logo.png","Logo circulaire Uchronie Maybon avec fond bois, motif sablier en cuir rouge bordeaux et lettrage","1200x1200","propriété exclusive Uchronie Maybon"
"https://static.wixstatic.com/media/6860cd_05cf17cda6ba47a59dd696d38e41563a~mv2.png","accueil","bouton-boutique-en-ligne.png","Boutique en ligne","Logo sablier Uchronie Maybon scindé en diagonale avec mention Boutique en ligne","2632x2480","propriété exclusive Uchronie Maybon"
"https://static.wixstatic.com/media/6860cd_46f7fcf4d46c4217888f42b9685aa6cd~mv2.png","accueil","coffrets-cubes-colores-vue-plongee.png","Coffrets de Mélodie Maybon","Ensemble de dix boîtes et coffrets cubiques colorés vus en plongée sur fond blanc avec boutons dorés","3000x4000","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_547154e432be4bdf8c0a080a00db63ed~mv2.png","accueil, a-propos, contact, ebenisterie, portfolio","bandeau-footer-bois-veine.png","","Bandeau horizontal large de texture bois clair avec veinage étendu pour pied de page","2479x735","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_a9ba88131ced4020b2efa3fd357076c1~mv2.png","accueil, a-propos, contact, ebenisterie, portfolio","logo-linkedin.png","LinkedIn","Logo officiel LinkedIn bleu sur fond transparent","3840x2160","marque déposée LinkedIn Corporation"
"https://static.wixstatic.com/media/6860cd_a08328b680d740cca72da5b72defce20~mv2.png","accueil, a-propos, contact, ebenisterie, portfolio","nametag-instagram-uchroniemaybon.png","Instagram","Nametag officiel Instagram avec mention UCHRONIEMAYBON en dégradé rose orange","1275x1275","marque déposée Meta Platforms / Uchronie Maybon"
"https://static.wixstatic.com/media/6860cd_7a6510c865d043ecbc03f203bb9307ad~mv2.jpg","accueil, a-propos, contact, ebenisterie, portfolio","logo-facebook.jpg","Facebook","Icône Facebook lettre f blanche dans carré bleu","605x586","marque déposée Meta Platforms"
"https://static.wixstatic.com/media/6860cd_74c64a68e3954cc1a437a5dd40e1fcd4~mv2.png","accueil, a-propos, contact, ebenisterie, portfolio","logo-embleme-sablier-or.png","logo.png","Emblème médaillon Uchronie Maybon sablier beige et rouge bordeaux sans lettrage","1653x1592","propriété exclusive Uchronie Maybon"
"https://static.wixstatic.com/media/6860cd_0776d23fa25640cc8867e6b7356196be~mv2.jpg","a-propos","portrait-melodie-maybon.jpg","Melodie Maybon.jpg","Portrait photographique de Mélodie Maybon de trois-quarts en chemise à carreaux vichy rose et blanc","992x1404","propriété présumée Uchronie Maybon — droit à l'image et autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_e2f0cb121f6f4373848e0a5fc7a9a6a6~mv2.jpg","a-propos","detail-marqueterie-geometrique-bois.jpg","Marqueterie","Gros plan sur panneau de marqueterie géométrique en triangles de bois clair et teinté","1440x1440","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_294a31257ceb4cedae45c365defa57a1~mv2.jpg","a-propos","copeaux-de-bois-atelier.jpg","Ebenisterie","Gros plan sur un amas de fins copeaux de rabotage en bois clair en spirales","2250x3000","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_c64cf4f3325544a49622b538fc01a160~mv2.jpg","ebenisterie","presentoir-gradins-osb-atelier.jpg","IMG_20201026_182143.jpg","Présentoir d'exposition à deux gradins en panneaux OSB et plateaux noirs posé sur établi","1500x2000","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_b85910e0910f49b1a46b89a82e2784de~mv2.jpg","ebenisterie","presentoir-arche-trois-etageres.jpg","IMG_20201118_174026.jpg","Présentoir vertical en bois résineux clair avec dossier en arche et 3 étagères décalées sur fond noir","1536x2048","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_7206a145de274d04a2f7c2dca9e95aba~mv2.jpg","ebenisterie","table-ronde-marqueterie-florale.jpg","IMG_20200827_105220.jpg","Plateau de table ronde en bois avec placage en rayons et médaillon floral en marqueterie","4000x3000","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_4ec3ede023cc4068acab1297c4504303~mv2.jpg","ebenisterie","table-volante-classique-loupe-bronzes.jpg","IMG_20200615_181144.jpg","Table volante classique en bois verni avec tiroir en loupe, garnitures dorées et entretoise cintrée","2006x1992","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_f4db63f2a4ec45d996c13ce3e9d60ac6~mv2.jpg","ebenisterie","sellette-colonne-bleu-et-or.jpg","IMG_20210324_174418.jpg","Sellette haute rectangulaire gainée de bleu mat avec bordures dorées sur parquet","2048x2048","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_fd14e6b77a424a4cb7a0eea92052e57d~mv2.jpg","portfolio","collection-arlequin-multicolore.jpg","Collection Arlequin","Ensemble de coffrets, étuis et sacoche rigide à motifs géométriques multicolores type Mondrian","2428x2428","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_31bbb83157bb465cb1ef550d03080861~mv2.png","portfolio","collection-coffrets-bois-et-gainerie.png","Collection Sablier","Composition de divers coffrets en bois et matières gainées colorées, coffret ouvert avec doublure motifs dragons","3000x3721","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_1e602ce4aca549bbb80096c03f931029~mv2.jpg","portfolio","coffret-tiroir-marqueterie-geometrique.jpg","Collection Arlequin Tradition","Grand coffret rectangulaire à tiroir inférieur habillé de marqueterie géométrique en rectangles de bois variés","1692x1882","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_7af19a8dc59945f7b47b7dd72aa5234f~mv2.jpg","portfolio","dessous-de-verre-bois-gravure-rosaces.jpg","Collection des Sacres","Ensemble de dessous de verre circulaires en bois clair gravés au laser de motifs de rosace et quadrillages","1536x2048","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_f0a3b2685f0f41af8d1e4da403ad1fb7f000.jpg","copie-de-ebenisterie","boite-cubique-bois-zebre.jpg","IMG_20201019_174026.jpg","Petite boîte cubique à étages en bois zébré clair et bandes noires avec bouton métallique sommital","400x720","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_d9fe1f0a78be4a7eb473cc104ae7c288~mv2.jpg","copie-de-ebenisterie","coffret-bijoux-ouvert-gainerie-noire.jpg","IMG_20201103_121544.jpg","Coffret à bijoux ouvert en bois avec intérieur gainé de noir, tiroir et deux plumiers amovibles","2048x2048","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_efa4d5aea7ff4088aae043ac3448bc5a~mv2.jpg","copie-de-ebenisterie","coffret-couteaux-bois-et-cuir-blason.jpg","IMG_20200812_150820.jpg","Coffret à 6 couteaux en bois ouvert avec garniture bleu marine et blason doré Meyer 1241 sous le couvercle","1512x2016","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_a8593a839395447da62228d499d500b3~mv2.jpg","copie-de-ebenisterie","protege-carnets-cuir-et-marqueterie.jpg","IMG_20200720_142358.jpg","Deux protège-carnets : l'un en tissu motif feuillage, l'autre en cuir noir avec médaillon marqueté et coins dorés","2000x2000","propriété présumée Uchronie Maybon — autorisation à confirmer"
"https://static.wixstatic.com/media/6860cd_1eed8f4a78364fa7bd4cd245ddb730b3~mv2.jpg","copie-de-ebenisterie","dessous-de-verre-cuir-noir-bordeaux.jpg","IMG_20200612_114532.jpg","Dessous de verre carrés gainés de cuir noir et bordeaux avec liseré doré sur souche de bois en extérieur","1536x2048","propriété présumée Uchronie Maybon — autorisation à confirmer"
