lien,page_source,statut
"https://melodiemaybon.wixsite.com/uchronie-maybon","Wix - toutes pages (menu Accueil)","200"
"https://melodiemaybon.wixsite.com/uchronie-maybon/portfolio","Wix - toutes pages (menu Tabletterie)","200"
"https://melodiemaybon.wixsite.com/uchronie-maybon/ebénisterie","Wix - toutes pages (menu Ebénisterie)","200"
"https://melodiemaybon.wixsite.com/uchronie-maybon/copie-de-ebénisterie","Wix - toutes pages (menu Espace pro)","200"
"https://melodiemaybon.wixsite.com/uchronie-maybon/a-propos","Wix - toutes pages (menu À propos)","200"
"https://melodiemaybon.wixsite.com/uchronie-maybon/contact","Wix - toutes pages (menu Contact)","200"
"mailto:melodie.maybon+contact@gmail.com","Wix - toutes pages (footer)","mailto (non applicable)"
"https://www.linkedin.com/company/uchronie-maybon/","Wix - toutes pages (footer)","200"
"https://www.instagram.com/uchroniemaybon/","Wix - toutes pages (footer)","200"
"https://www.facebook.com/uchroniemaybon","Wix - toutes pages (footer)","200"
"https://uchronie-maybon.sumupstore.com","Wix - toutes pages (footer/header, BOUTIQUE EN LIGNE)","403 via curl (anti-bot Cloudflare) / 200 via rendu navigateur"
"https://fr.wix.com/lp-fr/website-builder?orig_msid=950f9332-6316-4007-a469-a46aa7160320&adsVersion=banner_2024","Wix - toutes pages (bandeau Wix)","200"
"https://uchronie-maybon.sumupstore.com/","SumUp - toutes pages (nav Accueil + logo)","200 (rendu navigateur)"
"https://uchronie-maybon.sumupstore.com/produits","SumUp - nav Articles / page Accueil","200"
"https://uchronie-maybon.sumupstore.com/catégorie/bijoux","SumUp - nav","200"
"https://uchronie-maybon.sumupstore.com/catégorie/bureau-1","SumUp - nav","200"
"https://uchronie-maybon.sumupstore.com/catégorie/art-de-la-table","SumUp - nav","200"
"https://uchronie-maybon.sumupstore.com/catégorie/accessoires","SumUp - nav","non vérifié (même motif que les catégories vérifiées)"
"https://uchronie-maybon.sumupstore.com/catégorie/maison","SumUp - nav","non vérifié (même motif que les catégories vérifiées)"
"https://uchronie-maybon.sumupstore.com/catégorie/coffrets","SumUp - nav","200"
"https://uchronie-maybon.sumupstore.com/error/404","SumUp - nav MELI-MELO","404 (LIEN CASSÉ)"
"https://uchronie-maybon.sumupstore.com/contact","SumUp - footer Contact Us","200"
"https://uchronie-maybon.sumupstore.com/page/conditions-generales","SumUp - footer Legal Terms","200"
"https://uchronie-maybon.sumupstore.com/page/politique-en-matiere-de-protection-de-la-vie-privee","SumUp - footer Privacy Policy","200"
"https://uchronie-maybon.sumupstore.com/politique-cookies","SumUp - footer Cookie Policy","200"
"https://facebook.com/UchronieMaybon","SumUp - footer","200"
"https://instagram.com/UchronieMaybon","SumUp - footer","200"
"https://www.sumup.com/en-gb/online-store/","SumUp - footer (powered by)","non vérifié"
"https://melodiemaybon.wixsite.com/uchronie-maybon/contact","SumUp - nav Contact","200"
"https://uchronie-maybon.sumupstore.com/product/bague-de-lecture","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boite-arlequin","SumUp - page /produits","200"
"https://uchronie-maybon.sumupstore.com/product/boite-cube-l-noyer","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boite-cube-l-sequoia","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boite-damier-dore","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boite-ebene-et-marqueterie","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boite-loupe-derable","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boite-palissandre","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boite-verte-et-marqueterie","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/boucle-d-oreilles-drop-marqueterie","SumUp - page /produits","non vérifié individuellement (le même slug en /article/ existe sur la catégorie BIJOUX)"
"https://uchronie-maybon.sumupstore.com/product/cadre-a-stickers","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/crochet-a-cles","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/crochet-a-cles-2","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/crochet-a-cles-3","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/dessous-de-verre-bois","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/product/dessous-de-verre-gaine","SumUp - page /produits","non vérifié individuellement"
"https://uchronie-maybon.sumupstore.com/article/boucle-d-oreilles-drop-marqueterie","SumUp - page /catégorie/bijoux","non vérifié individuellement"
"https://melodie-maybon.sumup.link/","SumUp - page politique de confidentialité","200 mais « Sorry, this shop is not available. » (boutique inactive)"
"https://www.uchronie-maybon.com/","docs/source-urls.md (site officiel supposé)","000 NXDOMAIN (domaine inexistant)"
